Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
Jimmy Garoppolo,NE,QB,10,1.7,6,0.6,1,0,10,1,10,0,0,1
Brandon McManus,DEN,K,1,0.1,6,6,0.4,0,6,0,0,0,0,0
Raheem Mostert,SF,RB,1,1,6,6,6,0,6,0,0,0,0,0
Shaun Hill,MIN,QB,5,1.7,5,1,1.7,0,9,0,0,0,0,0
Josh Huff,TB,WR,1,0.3,5,5,1.7,0,5,0,0,0,0,0
Keith Smith,DAL,FB,2,0.1,5,2.5,0.3,0,3,2,100,0,0,0
Matthew Slater,NE,WR,1,0.1,5,5,0.4,0,5,1,100,0,0,0
Paul Richardson,SEA,WR,1,0.1,5,5,0.3,0,5,1,100,0,0,0
Shane Wynn,JAX,WR,2,0.4,5,2.5,1,0,7,0,0,0,0,0
Mohamed Sanu,ATL,WR,1,0.1,5,5,0.3,0,5,0,0,0,0,0
Larry Fitzgerald,ARI,WR,2,0.1,5,2.5,0.3,0,4,0,0,0,0,0
Bryan Walters,JAX,WR,1,0.1,4,4,0.4,0,4,1,100,0,0,0
Derek Anderson,CAR,QB,1,0.2,4,4,0.8,0,4,0,0,0,0,1
Golden Tate,DET,WR,10,0.6,4,0.4,0.2,0,11,1,10,0,0,1
Derek Watt,SD,FB,2,0.1,4,2,0.2,0,2,2,100,0,0,0
Bralon Addison,CHI,WR,1,0.5,4,4,2,0,4,0,0,0,0,0
Brandon Bolden,NE,RB,1,0.1,4,4,0.3,0,4,0,0,0,0,0
Emmanuel Sanders,DEN,WR,1,0.1,4,4,0.2,0,4,0,0,0,0,0
Scott Tolzien,IND,QB,6,2,3,0.5,1,0,5,0,0,0,0,0
Tyler Ervin,HOU,RB,1,0.1,3,3,0.2,0,3,0,0,0,0,0
Matt Cassel,TEN,QB,4,1,3,0.8,0.8,0,3,0,0,0,0,0
Jalston Fowler,TEN,FB,1,0.1,3,3,0.2,0,3,0,0,0,0,0
Marvin Jones,DET,WR,1,0.1,3,3,0.2,0,3,0,0,0,0,0
Breshad Perriman,BAL,WR,1,0.1,2,2,0.1,0,2,0,0,0,0,0
Coby Fleener,NO,TE,1,0.1,2,2,0.1,1,2T,1,100,0,0,0
J.D. McKissic,SEA,RB,1,1,2,2,2,0,2,0,0,0,0,0
Will Tukuafu,SEA,FB,2,0.3,2,1,0.3,0,2,0,0,0,0,0
Doug Baldwin,SEA,WR,3,0.2,2,0.7,0.1,0,4,0,0,0,0,0
Dexter McCluster,SD,WR,3,0.5,2,0.7,0.3,0,2,0,0,0,0,0
Matt Barkley,CHI,QB,7,1,2,0.3,0.3,0,5,0,0,0,0,2
Bradley Marquez,LA,WR,1,0.1,2,2,0.1,0,2,0,0,0,0,0
Chris Prosinski,CHI,SS,1,0.1,2,2,0.1,0,2,1,100,0,0,0
Charlie Whitehurst,CLE,QB,2,2,1,0.5,1,0,2,0,0,0,0,0
Rhett Ellison,MIN,TE,1,0.1,1,1,0.1,1,1T,1,100,0,0,0
Dontari Poe,KC,NT,1,0.1,1,1,0.1,1,1T,1,100,0,0,0
Tajae Sharpe,TEN,WR,1,0.1,1,1,0.1,0,1,0,0,0,0,0
Jakeem Grant,MIA,WR,1,0.1,1,1,0.1,0,1,0,0,0,0,0
Trevone Boykin,SEA,QB,8,1.6,1,0.1,0.2,0,11,1,12.5,0,0,0
George Farmer,SEA,RB,1,0.5,1,1,0.5,0,1,0,0,0,0,0
Eric Ebron,DET,TE,1,0.1,1,1,0.1,1,1T,1,100,0,0,0
Donnie Jones,PHI,P,1,0.1,0,0,0,0,0,0,0,0,0,1
Marcel Reece,SEA,FB,2,0.5,0,0,0,0,0,0,0,0,0,0
